molecule_name,packed_number,attempted_number
surf_0__modF,0,2
int_0__yhdP,0,0
int_0__xthA,0,1
int_0__efeB,0,0
int_0__asd,0,23
int_0__solA,0,2
surf_0__yojI,0,0
surf_0__dctA,0,1
int_0__accD,0,2
surf_0__lgt,0,0
int_0__accB,0,5
int_0__accC,0,0
int_0__accA,0,5
int_0__ybgC,0,1
int_0__ybgK,0,0
int_0__ybgJ,0,0
int_0__ybgI,0,6
int_0__selD,0,1
int_0__selB,0,1
int_0__elaA,0,0
int_0__ybgL,0,0
int_0__ydgJ,0,0
int_0__fbaA,0,26
int_0__fbaB,0,1
int_0__rluF,0,0
int_0__ung,0,1
surf_0__lptC,0,0
int_0__yqfB,0,1
int_0__mog,0,0
int_0__yjfP,0,0
surf_0__yhjA,0,0
surf_0__yhjD,0,1
surf_0__yhjE,0,5
int_0__ydiJ,0,0
int_0__ydiH,0,0
int_0__yjhC,0,0
int_0__ypfH,0,0
int_0__ydiE,0,1
int_0__trmJ,0,0
int_0__ydiZ,0,0
int_0__trmH,0,1
int_0__yjhU,0,0
surf_0__yagU,0,3
int_0__trmL,0,2
int_0__trmB,0,1
int_0__yfeC,0,0
int_0__trmA,0,0
int_0__trmD,0,0
int_0__argI,0,0
int_0__argH,0,4
int_0__argC,0,2
int_0__argB,0,8
int_0__argA,0,1
int_0__argG,0,13
int_0__argF,0,0
int_0__argE,0,3
int_0__argD,0,4
int_0__argS,0,1
int_0__argR,0,0
int_0__argP,0,1
surf_0__pspB,0,3
int_0__rbfA,0,3
surf_0__lpxT,0,1
int_0__tnaA,0,1
int_0__def,0,2
surf_0__lpxK,0,0
int_0__cpoB,0,2
surf_0__lpxM,0,0
int_0__yhdE,0,0
int_0__yahA,0,0
int_0__yahK,0,1
int_0__fecE,0,0
int_0__holD,0,0
int_0__holE,0,0
int_0__holB,0,0
int_0__holC,0,0
int_0__tufA,0,422
int_0__metB,0,1
int_0__ychN,0,2
int_0__ychJ,0,0
int_0__mnaT,0,0
int_0__gdhA,0,9
int_0__yccU,0,1
surf_0__nanT,0,0
int_0__zinT,0,0
surf_0__yghU,0,5
surf_0__yghJ,0,0
int_0__metG,0,4
int_0__nikR,0,0
surf_0__tatB,0,9
int_0__aldA,0,0
surf_0__pntA,0,0
surf_0__pntB,0,24
int_0__ybfE,0,0
int_0__ybfF,0,1
int_0__topA,0,1
int_0__topB,0,0
int_0__ydfG,0,3
int_0__creB,0,0
int_0__ppsR,0,0
int_0__ygaU,0,0
int_0__selA,0,0
int_0__ydfZ,0,0
int_0__ppsA,0,2
int_0__pgk,0,46
int_0__pgi,0,5
int_0__dmsD,0,0
int_0__pgm,2,2
int_0__pgl,0,1
int_0__mutM,0,0
int_0__hchA,0,1
surf_0__cydB,0,1
int_0__adk,0,8
int_0__nagD,0,1
int_0__nagA,0,1
int_0__nagC,0,2
int_0__nagB,0,0
int_0__ade,0,0
int_0__add,0,0
int_0__rimP,0,2
int_0__rimO,0,0
int_0__rimM,0,1
int_0__rimL,0,0
int_0__rimI,0,0
int_0__xerC,0,0
int_0__xerD,0,0
surf_0__gcd,0,0
int_0__ydhF,0,0
surf_0__acrD,0,0
surf_0__acrA,0,0
surf_0__acrB,0,3
int_0__ydhQ,1,1
int_0__ydhR,0,4
int_0__ydhS,0,0
int_0__phnA,0,0
int_0__hdhA,0,0
int_0__iclR,0,0
int_0__yhgF,0,0
surf_0__dcuA,0,2
int_0__garD,0,0
surf_0__ftsB,0,0
int_0__wbbJ,0,0
int_0__garL,0,0
int_0__wbbI,0,1
int_0__garK,0,0
int_0__yaiI,0,0
int_0__yaiL,0,0
int_0__garR,0,0
int_0__yaiA,0,0
surf_0__mscL,0,9
surf_0__mscM,0,0
surf_0__mscK,0,0
surf_0__mscS,0,2
int_0__seqA,0,3
int_0__hfq,0,3
int_0__gmhB,0,0
int_0__gmhA,0,4
int_0__cnu,0,0
int_0__trxA,0,36
int_0__grxA,0,0
int_0__grxB,0,2
int_0__grxC,0,0
int_0__grxD,0,10
int_0__cdaR,0,0
int_0__rsmA,0,0
int_0__dxs,0,0
int_0__rsmC,0,2
int_0__rsmB,0,0
int_0__rsmE,0,0
int_0__rsmD,0,0
int_0__rsmG,0,0
int_0__rsmF,0,0
int_0__rsmI,0,1
int_0__rsmH,0,1
int_0__rsmJ,0,0
surf_0__yicH,0,0
surf_0__syd,0,1
int_0__sucB,0,0
int_0__sucC,0,11
int_0__sucA,0,2
int_0__sucD,0,10
int_0__speE,2,2
int_0__speD,0,2
int_0__speG,0,0
int_0__speA,0,1
int_0__speC,0,0
int_0__rpsC,0,17
int_0__lrhA,0,0
int_0__hpf,0,3
int_0__uxuB,0,0
int_0__uxuA,0,1
surf_0__arcB,0,0
int_0__ffh,0,1
int_0__uxuR,0,0
int_0__ndh,0,1
int_0__ndk,0,0
int_0__uspD,0,0
int_0__acs,0,0
int_0__glgC,0,0
int_0__glgB,0,0
int_0__glgA,0,0
int_0__folX,0,2
int_0__tusC,0,1
int_0__tusA,0,1
int_0__dadA,0,0
int_0__glgS,0,0
int_0__glgP,0,0
surf_0__mraY,0,0
int_0__dadX,0,0
int_0__glgX,0,0
int_0__yciE,0,0
int_0__yciF,0,0
int_0__ileS,0,4
int_0__yciA,0,0
int_0__gutQ,0,0
int_0__yciO,0,1
int_0__yciH,0,1
int_0__yciI,0,2
int_0__lpdA,0,18
int_0__yciK,0,0
int_0__yciT,0,0
int_0__yciW,0,0
int_0__pepN,0,1
int_0__rnpA,1,1
surf_0__mrdA,0,0
int_0__folK,0,0
int_0__yfeX,0,0
int_0__eutM,0,0
int_0__eutL,0,0
int_0__eutC,0,0
int_0__eutB,0,0
surf_0__metQ,0,353
int_0__lysC,0,4
surf_0__metI,1,4
int_0__gmk,0,1
int_0__ybeY,0,1
int_0__sixA,0,0
int_0__ybeZ,0,1
int_0__ybeD,0,8
int_0__obgE,1,1
int_0__ybeL,0,0
int_0__wecE,0,0
int_0__wecB,0,0
int_0__wecC,0,0
int_0__lldR,0,0
int_0__codA,0,5
surf_0__ptsG,0,22
int_0__lldD,0,0
surf_0__nhaB,0,0
int_0__trmO,0,0
int_0__rffG,0,0
int_0__fis,0,5
int_0__hemX,0,0
int_0__serA,0,18
int_0__rffH,0,0
int_0__serC,0,28
int_0__serB,0,0
int_0__hemA,0,0
int_0__hemC,0,0
int_0__fumD,0,0
int_0__hemE,0,0
int_0__hemD,0,0
int_0__hemG,0,0
int_0__hemH,0,0
int_0__hemL,0,4
int_0__serS,0,4
int_0__hemN,0,0
int_0__purA,1,10
int_0__purB,0,2
int_0__purC,0,13
int_0__purD,0,3
int_0__purE,0,4
int_0__purF,0,1
int_0__purH,0,3
int_0__purK,0,0
int_0__purL,0,3
int_0__purM,0,3
int_0__purN,0,1
int_0__cysQ,0,0
int_0__cysN,0,1
int_0__purR,0,1
int_0__cysM,0,2
int_0__purT,0,2
int_0__lysU,0,0
int_0__cysH,3,3
int_0__cysI,0,5
int_0__cysG,0,0
int_0__cysD,0,1
int_0__cysE,0,0
int_0__cysB,0,1
int_0__cysC,0,1
int_0__cysA,0,1
int_0__gnsA,0,1
int_0__gnsB,0,3
int_0__corC,0,0
int_0__cyaY,0,1
int_0__cyaA,0,0
int_0__xylB,0,0
int_0__trkA,0,0
int_0__phoB,0,0
int_0__carA,0,14
int_0__phoP,0,5
int_0__carB,0,7
int_0__phoU,0,0
int_0__cheY,0,22
int_0__rdgC,0,0
int_0__surE,0,0
int_0__zapA,1,1
int_0__zapB,0,12
int_0__zwf,0,2
int_0__zapD,0,1
int_0__zapE,0,0
int_0__yibT,0,1
int_0__bolA,0,1
int_0__yibF,0,0
int_0__yibL,0,1
surf_0__msbA,0,1
int_0__rpsK,0,15
int_0__oppD,0,2
int_0__hinT,0,2
int_0__plaP,0,0
surf_0__sohB,0,6
int_0__ycjX,0,0
int_0__ycjW,0,0
int_0__yejL,0,0
int_0__yejK,0,2
int_0__yejF,0,0
int_0__kbl,0,0
surf_0__ylaC,0,2
surf_0__ygjR,1,1
int_0__yhjH,0,0
surf_0__yibN,0,25
int_0__csiD,0,0
int_0__fur,0,7
int_0__ycaO,0,1
int_0__preT,0,0
int_0__bglA,0,1
surf_0__potB,0,1
surf_0__potC,0,1
int_0__hcxA,0,0
int_0__hcxB,0,2
int_0__acnA,0,0
surf_0__eptC,0,0
surf_0__ydgA,0,11
int_0__infA,0,9
int_0__infB,0,2
int_0__infC,0,17
int_0__elbB,0,2
int_0__ycaC,0,2
int_0__ygiN,0,1
int_0__ybdK,0,0
int_0__ybdL,0,0
int_0__fkpB,0,1
int_0__btuE,0,1
int_0__ybdZ,0,2
int_0__ychF,0,5
int_0__btuR,0,0
int_0__nudE,0,1
int_0__nudF,0,0
int_0__nudC,0,1
int_0__prkB,0,0
int_0__nudJ,0,0
int_0__nudK,0,3
int_0__mnmE,1,1
int_0__mnmG,0,0
int_0__der,0,0
int_0__mnmA,0,1
int_0__mnmC,0,0
int_0__ilvN,0,0
int_0__ilvM,0,0
int_0__ilvH,0,2
int_0__ilvI,0,1
int_0__ilvG,0,0
int_0__ilvD,0,1
int_0__ilvE,2,4
int_0__ilvB,0,1
int_0__sbcD,0,0
int_0__ilvA,0,0
int_0__yhaM,0,0
surf_0__actP,0,0
int_0__ydjF,0,0
int_0__yhaJ,0,0
int_0__moaD,1,2
int_0__moaE,0,1
int_0__uspA,0,55
surf_0__degS,0,1
int_0__uspF,0,1
int_0__moaB,0,4
int_0__moaC,0,0
int_0__mtlD,1,1
int_0__acnB,14,14
int_0__pykF,1,13
int_0__psuG,0,1
int_0__pykA,0,2
int_0__fhuF,0,0
int_0__gltL,0,0
int_0__dgoR,0,0
int_0__gltB,1,3
int_0__gltA,1,12
int_0__gltD,0,5
surf_0__macA,0,0
int_0__gltX,0,4
int_0__dusC,0,0
int_0__dusB,0,0
int_0__dusA,0,0
int_0__glf,0,1
int_0__ansA,1,1
int_0__glk,0,0
surf_0__tolQ,0,1
surf_0__tolR,0,1
int_0__gatZ,0,1
int_0__gatY,0,8
int_0__rcsB,0,3
surf_0__tolA,0,1
int_0__ucpA,1,1
int_0__gatD,0,0
int_0__gatB,0,6
int_0__gatA,0,8
int_0__nth,0,0
int_0__apt,0,5
surf_0__dauA,0,0
int_0__helD,0,0
int_0__usg,0,1
int_0__mlc,0,0
int_0__yjcZ,0,0
int_0__yqaB,0,0
int_0__fre,0,1
surf_0__yiaD,0,9
int_0__frr,0,6
int_0__rssB,0,0
int_0__trpC,0,1
int_0__trpE,0,1
int_0__yqcA,0,1
int_0__gcvH,0,1
int_0__kdsC,0,1
int_0__kdsB,0,1
int_0__kdsA,0,4
int_0__fdx,0,4
int_0__kdsD,0,0
int_0__thrS,0,1
int_0__yicC,0,1
int_0__lptB,0,2
int_0__bisC,0,0
int_0__rpsT,0,47
int_0__rpsU,0,44
int_0__metR,0,0
int_0__fabZ,0,7
int_0__rpsQ,0,10
int_0__rpsR,0,0
int_0__rpsS,0,37
int_0__fabR,0,0
