,A14_07032,A14_07033,A14_07034,A14_07036,A14_07037,A14_07038,A14_07040,A14_07041,A14_07042,A14_07044,A14_07045,A14_07046,A14_07048,A14_07049,A14_07050,A14_07052,A14_07053,A14_07054,A14_07056,A14_07057,A14_07058,A14_07060,A14_07061,A14_07062,A14_07064,A14_07065,A14_07066,A14_07068,A14_07069,A14_07070,A14_07072,A14_07073,A14_07074,A14_07076,A14_07077,A14_07078,A14_07080,A14_07081,A14_07082,A14_07084,A14_07085,A14_07086,A14_07088,A14_07089,A14_07090,A14_07092,A14_07093,A14_07094,A14_07096,A14_07097,A14_07098,A14_07100,A14_07101,A14_07102,A14_07109,A14_07110,A14_07111,A14_07113,A14_07114,A14_07115,A14_07117,A14_07118,A14_07119,A14_07121,A14_07122,A14_07123,A14_07125,A14_07126,A14_07127,Copies_Glucose,Copies_LB,uniprot_notmapped
0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2270.0,4696.0,P0A8T7
1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2849.0,5649.0,P0A8V2
2,0.03493645,0.033334128,0.032209741,0.011504554,0.011305314,0.011544703,0.027305298,0.028999752,0.02934001,0.010077319,0.009695601,0.009885803,0.01353121,0.012235398,0.013367501,0.011682206,0.012306963,0.011672935,0.014080992,0.013150253,0.013335202,0.010975577,0.011595528,0.012328006,0.0128692,0.013131066,0.013234223,0.011991523,0.012248379,0.011551299,0.00893879,0.009010989,0.009333528,0.00911691,0.008366219,0.008590808,0.013411872,0.013830606,0.013329794,0.013254802,0.01303985,0.012906293,0.010728492,0.011502072,0.011698572,0.011666236,0.011575432,0.011213147,0.033102333,0.036305741,0.031936882,0.012839796,0.014649503,0.013569596,0.013370886,0.011985274,0.01400234,0.013781091,0.013790238,0.01304416,0.008289791,0.007817325,0.007908809,0.012066085,0.013477565,0.013503314,0.012671094,0.012600792,0.012346842,22305.0,55698.0,P0A6F5
3,0.038675202,0.038647315,0.033602319,0.011923144,0.012030128,0.012610817,0.024962305,0.024999846,0.023898782,0.009481804,0.009165078,0.009100608,0.010839865,0.011615605,0.010894202,0.011236457,0.011920719,0.0112756,0.010882907,0.01162157,0.011444255,0.009527406,0.008104841,0.008560102,0.010227602,0.010017196,0.009636287,0.008576172,0.008471502,0.008652835,0.007159028,0.006535473,0.006789602,0.005881367,0.006442011,0.006211186,0.022030629,0.021324624,0.023355329,0.021800753,0.023152548,0.02029197,0.01244456,0.012795525,0.012510531,0.015539475,0.012580384,0.013391246,0.029087096,0.031721943,0.027033043,0.018898257,0.022072619,0.022200557,0.011934142,0.010831884,0.012129722,0.011721676,0.01152168,0.011701332,0.006851583,0.007606799,0.007132181,0.012716111,0.013270984,0.012359416,0.012117473,0.012164922,0.012087871,18133.0,42936.0,P0A6Y8
4,0.034464662,0.029763198,0.042965665,0.015593429,0.015472866,0.014315076,0.022213669,0.020564022,0.026668729,0.008600412,0.010952675,0.00970679,0.012854902,0.012826201,0.013351312,0.013591423,0.013903542,0.013393248,0.013225646,0.014402357,0.014352526,0.009401467,0.013499107,0.013542524,0.019406007,0.021463978,0.01834567,0.015186156,0.013953535,0.014777408,0.010970315,0.013011582,0.011815922,0.010317596,0.010304464,0.00976316,0.006090845,0.006670042,0.005565982,0.007576105,0.006085043,0.007165039,0.014889839,0.01453052,0.014322315,0.00909007,0.012691038,0.011576654,0.017440603,0.022022598,0.020358791,0.013834811,0.013979846,0.01294342,0.015234087,0.015693597,0.015547056,0.014138959,0.014735794,0.012195545,0.00961425,0.007128125,0.009299999,0.010595086,0.012928211,0.013241049,0.016736774,0.019190784,0.017945878,1545.0,3236.0,P0A705
5,0.029130998,0.035220637,0.032431203,0.019326924,0.018312479,0.018446056,0.026953743,0.028065261,0.026216876,0.011417805,0.010820264,0.010907355,0.014077258,0.013549098,0.013901518,0.012694497,0.013320388,0.012544093,0.014927963,0.01395891,0.013652352,0.01487209,0.013422405,0.013680659,0.01321198,0.012069327,0.013376891,0.010119214,0.010400588,0.010393625,0.008689967,0.008194819,0.008228733,0.007462488,0.007635893,0.007228953,0.006356551,0.006672851,0.006032083,0.006430348,0.006462587,0.006645366,0.017803092,0.018076025,0.018359139,0.016035364,0.01543458,0.015671851,0.01853453,0.015993959,0.01828387,0.015603714,0.013986844,0.014054283,0.015834459,0.01583841,0.016031162,0.014030216,0.013746323,0.014568693,0.010613213,0.01025025,0.009953843,0.014478934,0.014312673,0.013449697,0.01794354,0.016615027,0.017033212,279773.0,417978.0,P0CE47
6,0.035851695,0.043827106,0.040336403,0.018263646,0.017969036,0.018173123,0.028294483,0.029021849,0.027238435,0.010024748,0.009166,0.009946227,0.013483511,0.013445732,0.014071997,0.014905797,0.014536478,0.014558068,0.014539996,0.014777955,0.014452913,0.015083003,0.01306558,0.013333194,0.01143817,0.011443119,0.012288167,0.009294276,0.009676535,0.008976882,0.00774245,0.007085394,0.007185017,0.006089237,0.005794755,0.006000412,0.00644529,0.006204529,0.005883493,0.005752412,0.005858687,0.00577118,0.019613387,0.019029208,0.01882918,0.011507202,0.013821071,0.013755028,0.017029646,0.014944218,0.016429599,0.013898802,0.013904331,0.014520764,0.016287696,0.01619931,0.017130102,0.012484873,0.01274279,0.013127935,0.009546498,0.009572728,0.009232146,0.016034119,0.015083553,0.015214081,0.017748515,0.017059496,0.017956742,40159.0,66828.0,P0A6M8
7,0.022878704,0.02548964,0.025689656,0.015139816,0.01583471,0.015253741,0.019381166,0.018574652,0.022338668,0.007708528,0.008872125,0.008991684,0.011450955,0.011826064,0.01214391,0.01304682,0.012717272,0.015203959,0.013091821,0.013387355,0.013689945,0.012455456,0.014454454,0.01469306,0.013511199,0.015530204,0.012902825,0.011882566,0.010766696,0.011272923,0.008465397,0.009669025,0.009342086,0.008471569,0.008125523,0.008078182,0.00797651,0.008562035,0.008497195,0.008960522,0.008562048,0.009144347,0.017700636,0.017827307,0.016727758,0.012253325,0.016158503,0.013422372,0.02166359,0.030020334,0.023282607,0.017295118,0.019276906,0.017619812,0.018705063,0.018470673,0.019414621,0.014504731,0.013923173,0.012593062,0.011133517,0.008397139,0.009906206,0.013929749,0.014652297,0.014258152,0.019789646,0.020457147,0.022581539,2167.0,3255.0,P00957
8,0.032096692,0.035493092,0.034503432,0.015579557,0.015469826,0.015286715,0.021131669,0.021949258,0.022930442,0.00953612,0.01040145,0.011292707,0.013512525,0.012612284,0.013348023,0.013040937,0.013661508,0.013447263,0.014244399,0.014605136,0.014091735,0.013502803,0.014297679,0.014733168,0.014227719,0.015012788,0.013923232,0.011903219,0.011520329,0.010909696,0.008535399,0.009003723,0.010781826,0.008606851,0.008415888,0.009244954,0.007630723,0.006739487,0.006396473,0.00856568,0.007800838,0.00813824,0.014735048,0.015506302,0.015240305,0.012242314,0.014229865,0.015731674,0.019336887,0.019251264,0.020720653,0.014452448,0.01445237,0.01387942,0.017541833,0.017010364,0.018104218,0.016559323,0.014830844,0.013766615,0.011250176,0.009827031,0.01051855,0.012931786,0.014078023,0.012995775,0.017375155,0.017294125,0.018012148,3030.0,5562.0,P00961
9,0.033048767,0.039522426,0.036842291,0.020029859,0.020387569,0.020604269,0.025342033,0.023740596,0.0286466,0.009816074,0.011049391,0.009682356,0.012153118,0.012618564,0.011985242,0.012327627,0.013490195,0.012092875,0.013684618,0.013206631,0.012979933,0.012374196,0.012389934,0.01166636,0.015395666,0.015971234,0.014466402,0.011498268,0.011588342,0.01131352,0.008546836,0.00888624,0.009458754,0.007702716,0.007619527,0.007801376,0.00602582,0.006075645,0.005080162,0.005949817,0.004679849,0.0065063,0.018670987,0.019498259,0.02052215,0.009764369,0.013913495,0.011406636,0.022656616,0.017431119,0.023961871,0.013156209,0.013426357,0.013538833,0.01644958,0.01561255,0.016842653,0.014090824,0.013160881,0.014520058,0.008962761,0.009048136,0.008944943,0.013245893,0.012476721,0.012465579,0.01635069,0.016677485,0.018956346,1599.0,2381.0,P07118
10,0.062034708,0.061226412,0.001637553,0.011218328,0.005046306,0.020098226,0.000234106,0.006783796,0.001210556,0.016329982,0.025914245,0.013237172,0.018503804,0.019990086,0.012589045,0.00488681,0.018472827,0.00666979,0.006314806,0.015000734,0.010231382,0.012592504,0.009541881,0.000148297,0.016535689,0.00135134,0.01232406,0.009698966,0.013859977,0.011892351,0.009213064,0.02013818,0.012798543,0.006024087,0.002015036,0.011662222,0.012652793,0.006106132,9.68e-05,0.030119699,9.48e-05,9.81e-05,0.015114903,0.001295384,0.021025244,0.000167718,0.001195537,0.01338728,0.069790225,0.028336579,0.002372245,0.060994463,0.0357992,0.039067564,0.000169329,0.014696155,0.009235283,0.040438179,0.010586569,0.022226537,0.013688829,0.002520283,0.00215295,0.00934331,0.000156898,0.012673303,0.013314653,0.014388333,0.009267823,1611.0,3400.0,P63284
11,0.040238733,0.05207747,0.049728218,0.017911888,0.018365002,0.018234009,0.025700338,0.025106768,0.027868225,0.008305657,0.008221039,0.007993439,0.013014795,0.01311449,0.012715962,0.01256515,0.012381795,0.012419514,0.01476624,0.01563248,0.015740304,0.011106705,0.011074128,0.010952308,0.014222314,0.013979368,0.013454479,0.009232164,0.009280371,0.009915347,0.007639093,0.007539864,0.00768587,0.006250904,0.006650932,0.00663699,0.00682854,0.006889101,0.006675816,0.006792825,0.005918165,0.006329833,0.017565686,0.017835903,0.017049895,0.008921673,0.011744117,0.012878552,0.016990279,0.019524644,0.018599673,0.01252141,0.014094922,0.013498231,0.015570096,0.01355708,0.017353244,0.013320323,0.014195296,0.01297,0.008647643,0.008310347,0.008677994,0.01442606,0.013560916,0.013706396,0.01938862,0.019805216,0.01812915,24938.0,46364.0,P0AG67
12,0.023775233,0.02488253,0.022915133,0.017843487,0.017997234,0.017822765,0.019355219,0.019838437,0.018386907,0.011305986,0.010893077,0.011104407,0.01365001,0.014196336,0.013207406,0.013685272,0.0128009,0.013354762,0.014697345,0.015182651,0.014942814,0.016740426,0.014126877,0.015821099,0.014107491,0.013466071,0.013565752,0.01122821,0.011642505,0.010627265,0.008845133,0.009300968,0.00814383,0.007655243,0.007279182,0.006966648,0.007845898,0.007636,0.007076564,0.008379353,0.007178069,0.007902729,0.015669991,0.015463419,0.015192424,0.016591385,0.017183928,0.017766612,0.024296123,0.025887174,0.021629961,0.018239961,0.016392342,0.016672529,0.020210987,0.019548207,0.020295983,0.012604108,0.0133875,0.013649139,0.011175544,0.011283207,0.010106203,0.014023705,0.012456322,0.012920821,0.016650996,0.016009132,0.017319069,1980.0,2408.0,P00956
13,0.036889217,0.028177828,0.041534238,0.014526047,0.015205457,0.014403984,0.022919404,0.020500562,0.028387545,0.009087696,0.011133848,0.009273322,0.01259854,0.014116345,0.013677907,0.015164965,0.015659263,0.013354255,0.011900267,0.013260679,0.012785951,0.011251009,0.016246032,0.016422889,0.01922681,0.021764398,0.018412933,0.017182696,0.016183122,0.017920162,0.013118575,0.016805784,0.015573306,0.014825302,0.015472722,0.015418888,0.006708883,0.008019554,0.006216826,0.007029013,0.005551789,0.007872912,0.013002286,0.013185533,0.012661666,0.008107925,0.014187612,0.00908226,0.012679084,0.013693102,0.014752365,0.011165363,0.012158787,0.011361633,0.015332387,0.013571906,0.013392501,0.014577678,0.015577484,0.011582883,0.009093498,0.006583102,0.009448101,0.010962926,0.01273709,0.012696592,0.013506532,0.017272716,0.015846067,547.0,1250.0,P10408
