 ,Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id,Copy_number2,NumUsed,Protein_stoichiometry,PDB_coverage,PDB_stoichiometry,PDB_quality,Localization_multiple,need_dummy,PRINCIPAL_VECTOR,OFFSET,JITTER_MAX,PRINCIPAL_VECTOR_source,TM1_residues,TM2_residues,molecules/sqA
0,b0001,P0AD86,thrL,thr operon leader peptide,REP-E00001,E00001_clean-X_clean.pdb,metaTASSER,2138.4426,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1,,0,b0001:1,complete,E00001_clean-X_clean.pdb:1,all-homology,,,,,,,,,
1,b0002,P00561,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,REP-E00002,E00002_clean-X_clean.pdb,metaTASSER,89119.2202,4.105135504248654e-06,4375.0,Cytosol,iJL1678,x,,,iML1515_v1,4375.0,0,b0002:1,complete,E00002_clean-X_clean.pdb:1,all-homology,,,,,,,,,
2,b0003,P00547,thrB,Homoserine kinase,REP-1_308_4rpf.1.A_59f2ae737f4bf9b9baa52a12,b0003_1_308_4rpf_clean.pdb,SWISS-MODEL,33623.2905,0.0,844.0,Cytosol,iJL1678,,,,iML1515_v1,0.0,844,b0003:1,complete,b0003_1_308_4rpf_clean.pdb:1,all-homology,,,,,,,,,
3,b0004,P00934,thrC,Threonine synthase,REP-1vb3,1vb3-A_clean.pdb,Protein Data Bank,47113.2536,1.2823974156929452e-05,13676.0,Cytosol,iJL1678,x,,,iML1515_v1,13667.0,9,b0004:1,complete,1vb3-A_clean.pdb:1,all-experimental,,,,,,,,,
4,b0005,P75616,yaaX,Uncharacterized protein YaaX,REP-E00005,E00005_clean-X_clean.pdb,metaTASSER,11354.7994,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1,,0,b0005:1,complete,E00005_clean-X_clean.pdb:1,all-homology,,,,,,,,,
5,b0006,P0A8I3,yaaA,UPF0246 protein YaaA,REP-5caj,5caj-A_clean.pdb,Protein Data Bank,29585.4538,5.751881289381543e-07,613.0,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1,613.0,0,b0006:1,complete,5caj-A_clean.pdb:1,all-experimental,,,,,,,,,
6,b0007,P30143,yaaJ,Uncharacterized transporter YaaJ,REP-E00007,E00007_clean-X_clean.pdb,metaTASSER,51662.291,,,Inner_Membrane,iJL1678,,,,iML1515_v1,,0,b0007:1,complete,E00007_clean-X_clean.pdb:1,all-homology,,,,,,,,,
7,b0008,P0A870,talB,Transaldolase B,REP-4s2b,4s2b-A_clean.pdb,Protein Data Bank,35218.8107,8.676614401779954e-06,9247.0,Cytosol,iJL1678,x,,,iML1515_v1,9247.0,0,b0008:1,complete,4s2b-A_clean.pdb:1,all-experimental,,,,,,,,,
8,b0009,P0AF03,mog,Molybdopterin adenylyltransferase,REP-1di6,1di6-A_clean.pdb,Protein Data Bank,21222.105,1.45439086436238e-07,155.0,Cytosol,iJL1678,x,,,iML1515_v1,155.0,0,b0009:1,complete,1di6-A_clean.pdb:1,all-experimental,,,,,,,,,
9,b0010,P0AC98,satP,Succinate-acetate/proton symporter SatP,REP-E00010,E00010_clean-X_clean.pdb,metaTASSER,20070.6303,,,Cytosol,Arbitrary assignment,,,,iML1515_v1,,0,b0010:1,complete,E00010_clean-X_clean.pdb:1,all-homology,,,,,,,,,
