Gene,UniProt,NAME,Description,Structure_ID,Structure_file,Structure_source,MW,MOLARITY,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b0001,P0AD86,thrL,thr operon leader peptide,REP-E00001,E00001_clean-X_clean.pdb,metaTASSER,2138.4426000000008,,,Cytosol,EchoLOCATION predicted,,,
b0002,P00561,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,REP-E00002,E00002_clean-X_clean.pdb,metaTASSER,89119.2202000006,2.5948651229768257e-06,4375.0,Cytosol,iJL1678,x,,
b0003,P00547,thrB,Homoserine kinase,REP-1_308_4rpf.1.A_59f2ae737f4bf9b9baa52a12,b0003_1_308_4rpf_clean.pdb,SWISS-MODEL,33623.29050000001,5.005865517239865e-07,844.0,Cytosol,iJL1678,x,,
b0004,P00934,thrC,Threonine synthase,REP-1vb3,1vb3-A_clean.pdb,Protein Data Bank,47113.25360000006,8.11140009641853e-06,13676.0,Cytosol,iJL1678,x,,
b0005,P75616,yaaX,Uncharacterized protein YaaX,REP-E00005,E00005_clean-X_clean.pdb,metaTASSER,11354.799399999989,,,Periplasm,EchoLOCATION predicted,,,
b0006,P0A8I3,yaaA,UPF0246 protein YaaA,REP-5caj,5caj-A_clean.pdb,Protein Data Bank,29585.453800000018,3.6357767323081013e-07,613.0,Cytosol,EchoLOCATION predicted,x,,
b0007,P30143,yaaJ,Uncharacterized transporter YaaJ,REP-E00007,E00007_clean-X_clean.pdb,metaTASSER,51662.291000000056,,,Inner_Membrane,iJL1678,,,
b0008,P0A870,talB,Transaldolase B,REP-4s2b,4s2b-A_clean.pdb,Protein Data Bank,35218.81070000003,5.484506923923819e-06,9247.0,Cytosol,iJL1678,x,,
b0009,P0AF03,mog,Molybdopterin adenylyltransferase,REP-1di6,1di6-A_clean.pdb,Protein Data Bank,21222.104999999992,9.193236435689326e-08,155.0,Cytosol,iJL1678,x,,
b0010,P0AC98,satP,Succinate-acetate/proton symporter SatP,REP-E00010,E00010_clean-X_clean.pdb,metaTASSER,20070.630299999997,,,Cytosol,Arbitrary assignment,,,
b0011,P75617,yaaW,UPF0174 protein YaaW,REP-E00011,E00011_clean-X_clean.pdb,metaTASSER,26664.576300000015,,,Cytosol,EchoLOCATION predicted,,,
b0012,P28697,mbiA,Uncharacterized protein MbiA,,,,17637.128199999992,,,Cytosol,Arbitrary assignment,,,
b0013,P28696,yaaI,UPF0412 protein YaaI,REP-E00012,E00012_clean-X_clean.pdb,metaTASSER,14481.417999999978,,,Periplasm,EchoLOCATION predicted,,,
b0014,P0A6Y8,dnaK,Chaperone protein DnaK,REP-4jne,4jne-A_clean.pdb,Protein Data Bank,69114.12840000023,1.0754900405700292e-05,18133.0,Cytosol,iJL1678,x,,
