Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,I_inner_membrane,S_inner_membrane,"Copy number (glucose minimal media, pH 7)",LOCALIZATION,Localization_source,INCLUDE,COLOR,NOTES
b0001,P0AD86,thrL,thr operon leader peptide,,,,2138.4426000000008,,,,Cytosol,EchoLOCATION predicted,,,
b0002,P00561,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,REP-b0002_1_462_3c20,b0002_1_462_3c20-A_clean,SWISS-MODEL,89119.2202000006,2.5948651229768257e-06,,4375.0,Cytosol,iJL1678,x,,
b0003,P00547,thrB,Homoserine kinase,REP-b0003_1_308_4rpf,b0003_1_308_4rpf-A_clean,SWISS-MODEL,33623.29050000001,5.005865517239865e-07,,844.0,Cytosol,iJL1678,x,,
b0004,P00934,thrC,Threonine synthase,REP-1vb3,1vb3-A_clean,Protein Data Bank,47113.25360000006,8.11140009641853e-06,,13676.0,Cytosol,iJL1678,x,,
b0005,P75616,yaaX,Uncharacterized protein YaaX,,,,11354.799399999989,,,,Periplasm,EchoLOCATION predicted,,,
b0006,P0A8I3,yaaA,UPF0246 protein YaaA,REP-5caj,5caj-A_clean,Protein Data Bank,29585.453800000018,3.6357767323081013e-07,,613.0,Cytosol,EchoLOCATION predicted,x,,
b0007,P30143,yaaJ,Uncharacterized transporter YaaJ,,,,51662.291000000056,,,,Inner_Membrane,iJL1678,,,
b0008,P0A870,talB,Transaldolase B,REP-4s2b,4s2b-A_clean,Protein Data Bank,35218.81070000003,5.484506923923819e-06,,9247.0,Cytosol,iJL1678,x,,
b0009,P0AF03,mog,Molybdopterin adenylyltransferase,REP-1di6,1di6-A_clean,Protein Data Bank,21222.104999999992,9.193236435689326e-08,,155.0,Cytosol,iJL1678,x,,
b0010,P0AC98,satP,Succinate-acetate/proton symporter SatP,,,,20070.630299999997,,,,Cytosol,Arbitrary assignment,,,
b0011,P75617,yaaW,UPF0174 protein YaaW,REP-b0011_19_144_5gqq,b0011_19_144_5gqq-A_clean,SWISS-MODEL,26664.576300000015,,,,Cytosol,EchoLOCATION predicted,,,
b0012,P28697,mbiA,Uncharacterized protein MbiA,,,,17637.128199999992,,,,Cytosol,Arbitrary assignment,,,
b0013,P28696,yaaI,UPF0412 protein YaaI,,,,14481.417999999978,,,,Periplasm,EchoLOCATION predicted,,,
