Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
alr	Alanine racemase	Cytoplasmic	39153.08	0 / 0	None
modB	molybdate transporter subunit; membrane component; ... ...	Integral Membrane Protein	24938.92	5 / 5	None
cysZ	 The cellular location of this protein was experimentally confirmed ORF upstream of cysK	Integral Membrane Protein	29305.14	5 / 4	None
dfp	Bifunctional enzyme of Coenzyme A biosynthesis: th ... ...	Cytoplasmic	46300.75	1 / 0	None
fruB	 The cellular location of this protein was experimentally confirmed fructose-specific enzyme IIA and HPr component of ... ...	Cytoplasmic	39647.94	0 / 0	None
dcuB	 The cellular location of this protein was experimentally confirmed C4-dicarboxylate antiporter; member of C4-dicarbox ... ...	Integral Membrane Protein	47935.48	11 / 11	None
hisM	histidine/lysine/arginine/ornithine transporter su ... ...	Integral Membrane Protein	26869.89	5 / 4	None
zraS	Two component sensor kinase for zraP; responsive t ... ...	Integral Membrane Protein	51031.96	2 / 2	79.8%
icdC	C-terminal fragment of isocitrate dehydrogenase (I ... ...	Cytoplasmic	6064.13	0 / 0	None
rhsE	Encoded within repeats that are hotspots for chrom ... ...	Cytoplasmic	77141.73	0 / 0	None
yaaA	Function unknown; low abundance protein	Cytoplasmic	29585.91	0 / 0	None
cydC	cysteine transporter subunit; ATP-binding and memb ... ...	Integral Membrane Protein	62920.38	6 / 6	89.1%
yebA	Function unknown; has M37 metalloprotease domain	Cytoplasmic	46657.04	0 / 1	None
acrD	aminoglycoside/multidrug efflux system; member of ... ...	Integral Membrane Protein	113047.78	12 / 11	54.7%
yfgA	Function unknown	Membrane anchored	36191.76	1 / 1	None
garL	5-keto-4-deoxy-D-glucarate aldolase	Cytoplasmic	27384.22	0 / 0	None
ispB	Isoprenoid biosynthesis; octaprenyl diphosphate sy ... ...	Cytoplasmic	35217.11	0 / 0	None
yhdA	Function unknown	Integral Membrane Protein	73339.51	2 / 2	58.6%
cpxR	Response regulator in two-component CpxAR periplas ... ...	Cytoplasmic	26312.21	0 / 0	None
yjiA	Function unknown	Cytoplasmic	32017.51	0 / 0	None
aceA	Isocitrate lyase; acetate utilization	Cytoplasmic	47521.71	0 / 0	None
aceB	Malate synthase A; glyoxylate shunt enzyme	Cytoplasmic	60273.77	0 / 0	None
aceE	Pyruvate dehydrogenase (decarboxylase component) E ... ...	Cytoplasmic	99668.78	0 / 0	None
aceF	Pyruvate dehydrogenase (dihydrolipoyltransacetylas ... ...	Cytoplasmic	66096.24	3 / 0	None
aceK	Isocitrate dehydrogenase kinase/phosphatase	Cytoplasmic	67698.81	0 / 0	None
ackA	Acetate kinase; mutants are fluoroacetate resistan ... ...	Cytoplasmic	43290.6	0 / 0	None
pflA	Pyruvate formate lyase I activase	Cytoplasmic	28204.42	0 / 0	None
ada	O6-methylguanine-DNA methyltransferase; inducible; ... ...	Cytoplasmic	39324.04	0 / 0	None
add	Adenosine deaminase; mutants affect growth on deox ... ...	Cytoplasmic	36397.57	0 / 0	None
adhE	Alcohol dehydrogenase; anaerobic; acetaldehyde deh ... ...	Cytoplasmic	96127.54	0 / 0	None
adk	 The cellular location of this protein was experimentally confirmed Adenylate kinase; weak nucleoside diphosphate kina ... ...	Cytoplasmic	23586.09	0 / 0	None
agp	 The cellular location of this protein was experimentally confirmed Periplasmic glucose-1-phosphatase; acidic; has ino ... ...	Periplasmic	45683.07	1 / 0	99.9%
alaS	Alanyl-tRNA synthetase	Cytoplasmic	96032.69	1 / 0	None
aldA	Aldehyde dehydrogenase; NAD linked	Cytoplasmic	52272.96	1 / 0	None
aldH	Putative aldehyde dehydrogenase; by homology; tran ... ...	Cytoplasmic	53418.78	1 / 0	None
alkB	Alkylated DNA repair enzyme; alpha-ketoglutarate- ... ...	Cytoplasmic	24075.62	0 / 0	None
amn	AMP nucleosidase	Cytoplasmic	53995.05	0 / 0	None
ampC	 The cellular location of this protein was experimentally confirmed Beta-lactamase; penicillin resistance; affects mor ... ...	Periplasmic	41555.7	0 / 0	100%
ampD	ampC regulation	Cytoplasmic	20536.25	0 / 0	None
ampE	 The cellular location of this protein was experimentally confirmed Ampicillin resistance; membrane protein	Integral Membrane Protein	32122.09	5 / 4	None
cysQ	 The cellular location of this protein was experimentally confirmed PAPS (adenosine 3-phosphate 5-phosphosulfate) 3(2) ... ...	Membrane associated	27175.95	0 / 0	None
osmE	 The cellular location of this protein was experimentally confirmed Promoter overlaps nadE promoter; regulated by grow ... ...	Outer membrane Lipoprotein	12020.73	1 / 1	98.3%
ansA	 The cellular location of this protein was experimentally confirmed L-Asparaginase I	Cytoplasmic	37127.37	0 / 0	None
ansB	 The cellular location of this protein was experimentally confirmed L-Asparaginase II	Periplasmic	36850.8	1 / 1	99.9%
apaG	Expressed as part of complex ksgA operon; function ... ...	Cytoplasmic	13866.8	0 / 0	None
apaH	Diadenosine tetraphosphatase; stress response; com ... ...	Cytoplasmic	31296.83	0 / 0	None
