Gene,UniProt,NAME,Description,Structure_ID,PDB,Structure_source,MW,MOLARITY,Copy_number,Localization,Localization_source,INCLUDE,COLOR,NOTES,model_id
b0001,P0AD86,thrL,thr operon leader peptide,REP-E00001,E00001_clean-X_clean.pdb,metaTASSER,2138.4426,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0002,P00561,thrA,Bifunctional aspartokinase/homoserine dehydrogenase 1,REP-E00002,E00002_clean-X_clean.pdb,metaTASSER,89119.2202,2.59E-06,4375,Cytosol,iJL1678,x,,,iML1515_v1
b0003,P00547,thrB,Homoserine kinase,REP-1_308_4rpf.1.A_59f2ae737f4bf9b9baa52a12,b0003_1_308_4rpf_clean.pdb,SWISS-MODEL,33623.2905,5.01E-07,844,Cytosol,iJL1678,x,,,iML1515_v1
b0004,P00934,thrC,Threonine synthase,REP-1vb3,1vb3-A_clean.pdb,Protein Data Bank,47113.2536,8.11E-06,13676,Cytosol,iJL1678,x,,,iML1515_v1
b0005,P75616,yaaX,Uncharacterized protein YaaX,REP-E00005,E00005_clean-X_clean.pdb,metaTASSER,11354.7994,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0006,P0A8I3,yaaA,UPF0246 protein YaaA,REP-5caj,5caj-A_clean.pdb,Protein Data Bank,29585.4538,3.64E-07,613,Cytosol,EchoLOCATION predicted,x,,,iML1515_v1
b0007,P30143,yaaJ,Uncharacterized transporter YaaJ,REP-E00007,E00007_clean-X_clean.pdb,metaTASSER,51662.291,0,,Inner_Membrane,iJL1678,,,,iML1515_v1
b0008,P0A870,talB,Transaldolase B,REP-4s2b,4s2b-A_clean.pdb,Protein Data Bank,35218.8107,5.48E-06,9247,Cytosol,iJL1678,x,,,iML1515_v1
b0009,P0AF03,mog,Molybdopterin adenylyltransferase,REP-1di6,1di6-A_clean.pdb,Protein Data Bank,21222.105,9.19E-08,155,Cytosol,iJL1678,x,,,iML1515_v1
b0010,P0AC98,satP,Succinate-acetate/proton symporter SatP,REP-E00010,E00010_clean-X_clean.pdb,metaTASSER,20070.6303,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0011,P75617,yaaW,UPF0174 protein YaaW,REP-E00011,E00011_clean-X_clean.pdb,metaTASSER,26664.5763,,,Cytosol,EchoLOCATION predicted,,,,iML1515_v1
b0012,P28697,mbiA,Uncharacterized protein MbiA,,,,17637.1282,,,Cytosol,Arbitrary assignment,,,,iML1515_v1
b0013,P28696,yaaI,UPF0412 protein YaaI,REP-E00012,E00012_clean-X_clean.pdb,metaTASSER,14481.418,,,Periplasm,EchoLOCATION predicted,,,,iML1515_v1
b0014,P0A6Y8,dnaK,Chaperone protein DnaK,REP-4jne,4jne-A_clean.pdb,Protein Data Bank,69114.1284,1.08E-05,18133,Cytosol,iJL1678,x,,,iML1515_v1
b0015,P08622,dnaJ,Chaperone protein DnaJ,REP-4_348_4j80.1.A_59f22f7e3d4e1d165f42d958,b0015_4_348_4j80_clean.pdb,SWISS-MODEL,41099.8758,4.44E-07,748,Cytosol,iJL1678,x,,,iML1515_v1
