Gene Name	Function	Subcellular Location	Predicted Molecular weight (Da)	Number of TMH (HMMTOP / TMHMM)	Signal Peptide Cleavage Prob
fimA	 The cellular location of this protein was experimentally confirmed - Fimbrin type 1; major structural subunit; phase va ... ...	Cell surface appendage	18111.24	1 / 1	98.6%
fimF	 The cellular location of this protein was experimentally confirmed - Fimbrin type 1 minor component; fimbrial morpholog ... ...	Cell surface appendage	18715.39	1 / 0	91.9%
fimG	 The cellular location of this protein was experimentally confirmed - Fimbrin type 1 minor component; pilus length; perh ... ...	Cell surface appendage	17317.41	1 / 1	98.8%
fimH	 The cellular location of this protein was experimentally confirmed - Membrane-specific adhesin (lectin); major fimbrial ... ...	Cell surface appendage	31473.57	1 / 0	71.7%
fliC	 The cellular location of this protein was experimentally confirmed - Flagellin; structural gene; flagellar regulon	Cell surface appendage	51295.09	0 / 0	None
fliD	 The cellular location of this protein was experimentally confirmed - Hook-associated protein 2; axial family; flagellar ... ...	Cell surface appendage	48456.56	0 / 0	None
csgA	 The cellular location of this protein was experimentally confirmed - Curlin; RpoS (stationary phase) dependent; cryptic	Cell surface appendage	15049.19	1 / 0	100%
flgL	 The cellular location of this protein was experimentally confirmed - Flagellar synthesis; flagellar regulon; hook-assoc ... ...	Cell surface appendage	34281.16	0 / 0	None
flgK	 The cellular location of this protein was experimentally confirmed - Flagellar synthesis; flagellar regulon; hook-assoc ... ...	Cell surface appendage	57930.02	0 / 0	None
csgB	 The cellular location of this protein was experimentally confirmed - Curlin nucleator protein; homology with major curl ... ...	Cell surface appendage	15881.92	1 / 0	95.8%
flgD	 The cellular location of this protein was experimentally confirmed - Flagellar basal body rod modification; flagellar r ... ...	Cell surface appendage	23575.06	0 / 0	67.4%
flgE	 The cellular location of this protein was experimentally confirmed - Flagellar hook subunit protein; flagellar regulon	Cell surface appendage	42045.31	0 / 0	None
fruB	 The cellular location of this protein was experimentally confirmed - fructose-specific enzyme IIA and HPr component of ... ...	Cytoplasmic	39647.94	0 / 0	None
adk	 The cellular location of this protein was experimentally confirmed - Adenylate kinase; weak nucleoside diphosphate kina ... ...	Cytoplasmic	23586.09	0 / 0	None
ansA	 The cellular location of this protein was experimentally confirmed - L-Asparaginase I	Cytoplasmic	37127.37	0 / 0	None
aroK	 The cellular location of this protein was experimentally confirmed - Shikimate kinase I; alkali-inducible	Cytoplasmic	26973.69	0 / 0	None
aspC	 The cellular location of this protein was experimentally confirmed - Aspartate aminotransferase; kynurenine aminotransf ... ...	Cytoplasmic	43573.5	0 / 0	None
atpC	 The cellular location of this protein was experimentally confirmed - Membrane-bound ATP synthase; F1 sector; epsilon-su ... ...	Cytoplasmic	15068.32	0 / 0	None
atpG	 The cellular location of this protein was experimentally confirmed - Membrane-bound ATP synthase; F1 sector; gamma-subu ... ...	Cytoplasmic	31577.55	0 / 0	None
crr	 The cellular location of this protein was experimentally confirmed - glucose-specific enzyme IIA component of PTS; memb ... ...	Cytoplasmic	18251.11	0 / 0	None
cysI	 The cellular location of this protein was experimentally confirmed - Sulfite reductase; alpha-subunit; FAD and FMN-cont ... ...	Cytoplasmic	63998.33	0 / 0	None
dnaK	 The cellular location of this protein was experimentally confirmed - HSP-70-type molecular chaperone; heat-inducible;Dn ... ...	Cytoplasmic	69115.14	1 / 0	None
eno	 The cellular location of this protein was experimentally confirmed - Enolase; phosphoprotein; component of RNA degrados ... ...	Cytoplasmic	45655.08	1 / 0	None
fbaA	 The cellular location of this protein was experimentally confirmed - Fructose-bisphosphate aldolase; class II; binds Zn ... ...	Cytoplasmic	39147.38	0 / 0	None
frdB	 The cellular location of this protein was experimentally confirmed - Fumarate reductase iron-sulfur protein subunit	Cytoplasmic	27123.22	0 / 0	None
fusA	 The cellular location of this protein was experimentally confirmed - Fusidic acid resistance; protein chain elongation ... ...	Cytoplasmic	77581.55	1 / 0	None
glnQ	 The cellular location of this protein was experimentally confirmed - glutamine transporter subunit; ATP-binding compone ... ...	Cytoplasmic	26731.08	1 / 0	None
glpB	 The cellular location of this protein was experimentally confirmed - sn-Glycerol-3-phosphate dehydrogenase (anaerobic) ... ...	Cytoplasmic	45357.41	1 / 0	None
glpD	 The cellular location of this protein was experimentally confirmed - Glycerol-3-phosphate dehydrogenase (aerobic)	Cytoplasmic	56750.7	0 / 0	None
hmpA	 The cellular location of this protein was experimentally confirmed - Flavohemoglobin; nitric oxide dioxygenase; dihydro ... ...	Cytoplasmic	43867.78	0 / 0	None
lpd	 The cellular location of this protein was experimentally confirmed - Lipoamide dehydrogenase (NADH); glycine cleavage s ... ...	Cytoplasmic	50688.64	0 / 0	None
malZ	 The cellular location of this protein was experimentally confirmed - Maltodextrin glucosidase	Cytoplasmic	69172.44	0 / 0	None
manX	 The cellular location of this protein was experimentally confirmed - mannose-specific enzyme IIAB component of PTS; mem ... ...	Cytoplasmic	35047.66	0 / 0	None
mdh	 The cellular location of this protein was experimentally confirmed - Malate dehydrogenase; NAD-dependent	Cytoplasmic	32337.38	1 / 0	52.2%
mreB	 The cellular location of this protein was experimentally confirmed - Mecillinam resistance; cell shape; affects divisio ... ...	Cytoplasmic	38972.93	0 / 0	None
narH	 The cellular location of this protein was experimentally confirmed - Nitrate reductase beta-subunit	Cytoplasmic	58066.67	0 / 0	None
narW	 The cellular location of this protein was experimentally confirmed - Cryptic nitrate reductase II; delta-subunit	Cytoplasmic	26160.68	0 / 0	None
oppD	 The cellular location of this protein was experimentally confirmed - oligopeptide transporter subunit; ATP-binding comp ... ...	Cytoplasmic	37188.65	0 / 0	None
pckA	 The cellular location of this protein was experimentally confirmed - Phosphoenolpyruvate carboxykinase (ATP)	Cytoplasmic	59643.65	0 / 0	None
pepN	 The cellular location of this protein was experimentally confirmed - Aminopeptidase N	Cytoplasmic	98919.25	0 / 0	None
potA	 The cellular location of this protein was experimentally confirmed - polyamine transporter subunit; ATP-binding compone ... ...	Cytoplasmic	43028.38	0 / 0	None
ppiB	 The cellular location of this protein was experimentally confirmed - Rotamase; peptidylprolyl-cis-trans-isomerase B	Cytoplasmic	18153.54	0 / 0	None
psd	 The cellular location of this protein was experimentally confirmed - Phosphatidylserine decarboxylase	Cytoplasmic	35934.52	1 / 0	None
pyrI	 The cellular location of this protein was experimentally confirmed - Aspartate transcarbamylase; regulatory subunit	Cytoplasmic	17120.69	0 / 0	None
rfaD	 The cellular location of this protein was experimentally confirmed - ADP-L-glycero-D-manno-heptose-6-epimerase; heat-in ... ...	Cytoplasmic	34893.27	0 / 0	None
rne	 The cellular location of this protein was experimentally confirmed - RNase E; component of RNA degradosome; mRNA turnov ... ...	Cytoplasmic	118196.94	0 / 0	None
rpsA	 The cellular location of this protein was experimentally confirmed - 30S ribosomal subunit protein S1; subunit 1 of RNA ... ...	Cytoplasmic	61158.18	0 / 0	None
sdhA	 The cellular location of this protein was experimentally confirmed - Succinate dehydrogenase (SQR) flavoprotein subunit ... ...	Cytoplasmic	64422.09	0 / 0	None
sdhB	 The cellular location of this protein was experimentally confirmed - Succinate dehydrogenase (SQR) iron-sulfur protein; ... ...	Cytoplasmic	26770.03	0 / 0	None
srlD	 The cellular location of this protein was experimentally confirmed - Sorbitol-6-phosphate dehydrogenase	Cytoplasmic	27857.99	0 / 0	None
gutM	 The cellular location of this protein was experimentally confirmed - Part of srl operon	Cytoplasmic	12953.3	1 / 1	82.8%
sucB	 The cellular location of this protein was experimentally confirmed - Dihydrolipoamide succinyltransferase component of ... ...	Cytoplasmic	44011.53	0 / 0	None
thrA	 The cellular location of this protein was experimentally confirmed - Aspartokinase I-homoserine dehydrogenase I	Cytoplasmic	89120.58	0 / 0	None
trpD	 The cellular location of this protein was experimentally confirmed - Bifunctional enzyme: anthranilate synthase compone ... ...	Cytoplasmic	56870.14	1 / 0	None
tufA	 The cellular location of this protein was experimentally confirmed - Duplicate gene for EF-Tu subunit; elongation facto ... ...	Cytoplasmic	43283.69	0 / 0	None
uspE	 The cellular location of this protein was experimentally confirmed - Stress-induced protein; UV-resistance; tandem Usp ... ...	Cytoplasmic	35706.99	0 / 0	None
nfsA	 The cellular location of this protein was experimentally confirmed - Nitrofuran reductase I activity B; overexpression ... ...	Cytoplasmic	26800.78	0 / 0	None
fabZ	 The cellular location of this protein was experimentally confirmed - 3R-hydroxymyristoyl acyl carrier protein (ACP) deh ... ...	Cytoplasmic	17033.02	1 / 0	None
acnA	 The cellular location of this protein was experimentally confirmed - Aconitase A; stationary phase induced; iron-sulfur ... ...	Cytoplasmic	97677.54	0 / 0	None
uspA	 The cellular location of this protein was experimentally confirmed - Global regulatory gene for stress response	Cytoplasmic	16066.44	0 / 0	None
dps	 The cellular location of this protein was experimentally confirmed - Stress response DNA-binding protein; starvation-in ... ...	Cytoplasmic	18695.36	0 / 0	None
tatD	 The cellular location of this protein was experimentally confirmed - Mg-dependent cytoplasmic DNase; last gene in tatA ... ...	Cytoplasmic	28974.06	0 / 0	None
sdaB	 The cellular location of this protein was experimentally confirmed - L-Serine deaminase; L-SD2	Cytoplasmic	48753.17	0 / 0	None
artP	 The cellular location of this protein was experimentally confirmed - arginine transporter subunit; ATP-binding componen ... ...	Cytoplasmic	27022.16	0 / 0	None
